SALE_ID,DATE,PRODUCT_ID,STORE_ID,PROMO_ID,UNITS_SOLD,REVENUE
1,2024-02-03,25,29,18,7,267.68
2,2024-04-20,1,26,76,11,1326.8200000000002
3,2024-09-20,34,18,140,5,710.0
4,2024-08-23,3,8,93,17,2374.56
5,2024-03-23,17,18,73,19,2448.15
6,2024-02-11,32,10,63,4,342.32
7,2024-04-10,24,7,54,10,715.1
8,2024-01-06,2,2,11,4,379.32
9,2024-06-28,1,18,58,15,1809.3000000000002
10,2024-10-08,34,10,128,6,852.0
11,2024-11-15,8,19,115,17,397.12
12,2024-08-13,45,3,59,12,664.92
13,2024-11-10,46,6,106,6,162.54
14,2024-12-30,44,10,103,18,2405.88
15,2024-08-16,9,20,110,1,61.91
16,2024-10-15,28,25,119,14,1244.04
17,2024-05-29,19,10,15,4,172.16
18,2024-10-03,20,13,46,13,596.0500000000001
19,2024-07-16,7,21,130,16,1166.72
20,2024-03-10,42,24,95,10,405.79999999999995
21,2024-04-21,35,10,5,3,281.52
22,2024-01-04,19,19,113,10,430.4
23,2024-12-15,17,14,,17,2190.45
24,2024-11-26,40,29,48,15,371.55
25,2024-11-13,18,11,104,6,666.24
26,2024-12-15,7,25,75,5,364.6
27,2024-04-04,27,20,49,18,1377.8999999999999
28,2024-05-31,39,16,53,5,256.95
29,2024-11-06,30,3,65,5,147.55
30,2024-05-16,23,13,38,5,127.6
31,2024-09-03,20,14,83,4,183.4
32,2024-08-30,23,9,50,17,433.84
33,2024-01-31,26,4,91,9,1218.69
34,2024-02-09,48,22,120,12,1643.52
35,2024-08-16,47,14,83,16,958.08
36,2024-02-05,14,11,131,15,1328.55
37,2024-08-10,48,12,4,2,273.92
38,2024-01-06,31,23,106,9,851.58
39,2024-11-17,27,17,117,2,153.1
40,2024-08-07,9,16,1,10,619.0999999999999
41,2024-03-15,23,1,97,10,255.2
42,2024-01-04,10,16,150,8,829.12
43,2024-11-30,47,18,69,12,718.5600000000001
44,2024-05-13,23,26,17,11,280.71999999999997
45,2024-04-27,10,11,32,6,621.84
46,2024-04-03,2,29,73,9,853.47
47,2024-03-02,37,2,104,3,399.81000000000006
48,2024-07-12,40,16,110,7,173.39
49,2024-11-30,38,16,143,8,779.28
50,2024-07-21,38,27,15,12,1168.92
51,2024-01-26,1,4,16,5,603.1
52,2024-06-21,48,1,130,14,1917.44
53,2024-10-26,18,26,108,17,1887.68
54,2024-05-12,35,11,53,17,1595.28
55,2024-11-21,7,7,127,5,364.6
56,2024-04-27,44,6,108,11,1470.26
57,2024-11-19,42,6,39,1,40.58
58,2024-10-01,22,25,110,19,2080.31
59,2024-07-30,25,20,125,9,344.16
60,2024-08-12,42,24,46,10,405.79999999999995
61,2024-01-20,23,18,68,17,433.84
62,2024-04-22,9,8,69,15,928.65
63,2024-05-19,27,26,97,10,765.5
64,2024-02-16,11,28,92,1,103.23
65,2024-01-01,27,6,8,14,1071.7
66,2024-03-30,40,8,22,14,346.78
67,2024-05-21,28,29,16,17,1510.62
68,2024-11-15,18,3,108,14,1554.5600000000002
69,2024-02-07,36,4,33,4,429.08
70,2024-10-19,34,6,106,2,284.0
71,2024-05-18,13,17,109,16,775.36
72,2024-12-21,46,1,5,19,514.71
73,2024-11-28,30,15,56,1,29.51
74,2024-09-15,28,29,114,12,1066.32
75,2024-06-09,22,15,22,10,1094.8999999999999
76,2024-06-26,24,12,3,10,715.1
77,2024-01-10,47,24,106,12,718.5600000000001
78,2024-09-17,30,6,108,3,88.53
79,2024-05-17,45,27,3,13,720.3299999999999
80,2024-06-20,38,20,113,15,1461.1499999999999
81,2024-01-13,20,5,71,2,91.7
82,2024-06-16,6,7,140,3,387.03
83,2024-05-09,33,8,111,14,538.02
84,2024-03-24,47,10,65,15,898.2
85,2024-11-16,38,7,69,1,97.41
86,2024-11-14,15,7,,3,190.82999999999998
87,2024-04-10,15,23,83,8,508.88
88,2024-11-24,32,14,136,12,1026.96
89,2024-09-29,14,4,77,13,1151.4099999999999
90,2024-09-21,42,21,141,16,649.28
91,2024-02-07,8,29,24,9,210.24
92,2024-04-03,36,10,96,11,1179.97
93,2024-04-04,22,13,3,9,985.41
94,2024-10-31,38,7,39,12,1168.92
95,2024-03-09,20,3,147,17,779.45
96,2024-11-13,24,5,134,16,1144.16
97,2024-08-23,21,23,133,8,125.28
98,2024-11-29,28,18,42,14,1244.04
99,2024-05-16,49,7,2,15,721.5
100,2024-03-16,23,6,119,8,204.16
101,2024-02-04,24,8,55,15,1072.65
102,2024-01-01,39,7,,14,719.46
103,2024-10-22,44,20,85,11,1470.26
104,2024-11-15,23,29,116,2,51.04
105,2024-02-29,4,21,133,16,1618.4
106,2024-11-15,46,11,43,19,514.71
107,2024-12-14,4,10,142,3,303.45000000000005
108,2024-11-23,30,26,43,8,236.08
109,2024-09-23,48,6,41,18,2465.28
110,2024-12-26,28,18,138,17,1510.62
111,2024-08-16,31,26,101,4,378.48
112,2024-09-26,33,6,148,10,384.3
113,2024-11-11,50,10,118,12,1208.16
114,2024-10-12,19,9,106,1,43.04
115,2024-10-17,10,8,40,3,310.92
116,2024-07-31,25,12,130,9,344.16
117,2024-06-13,37,29,97,7,932.8900000000001
118,2024-01-05,13,21,11,12,581.52
119,2024-12-04,6,21,40,14,1806.1399999999999
120,2024-03-18,30,27,142,6,177.06
121,2024-03-02,23,10,141,16,408.32
122,2024-05-11,36,12,42,15,1609.05
123,2024-03-29,16,29,13,3,438.12
124,2024-08-24,8,30,8,10,233.6
125,2024-02-11,16,26,78,11,1606.4399999999998
126,2024-03-29,11,18,82,5,516.15
127,2024-10-22,1,26,27,9,1085.58
128,2024-11-23,22,19,63,16,1751.84
129,2024-10-21,18,28,60,13,1443.52
130,2024-04-13,36,14,30,6,643.62
131,2024-01-14,11,13,69,13,1341.99
132,2024-10-14,20,25,85,9,412.65000000000003
133,2024-06-27,10,7,48,11,1140.04
